month,day,sunrise,sunset
1,1,08:57,17:29
1,2,08:57,17:30
1,3,08:57,17:31
1,4,08:57,17:32
1,5,08:57,17:33
1,6,08:56,17:34
1,7,08:56,17:35
1,8,08:56,17:36
1,9,08:55,17:38
1,10,08:55,17:39
1,11,08:55,17:40
1,12,08:54,17:41
1,13,08:53,17:43
1,14,08:53,17:44
1,15,08:52,17:45
1,16,08:51,17:47
1,17,08:51,17:48
1,18,08:50,17:50
1,19,08:49,17:51
1,20,08:48,17:53
1,21,08:47,17:54
1,22,08:46,17:56
1,23,08:45,17:57
1,24,08:44,17:59
1,25,08:43,18:00
1,26,08:42,18:02
1,27,08:41,18:03
1,28,08:40,18:05
1,29,08:39,18:06
1,30,08:37,18:08
1,31,08:36,18:09
2,1,08:35,18:11
2,2,08:34,18:12
2,3,08:32,18:14
2,4,08:31,18:16
2,5,08:29,18:17
2,6,08:28,18:19
2,7,08:26,18:20
2,8,08:25,18:22
2,9,08:23,18:24
2,10,08:22,18:25
2,11,08:20,18:27
2,12,08:19,18:28
2,13,08:17,18:30
2,14,08:15,18:31
2,15,08:14,18:33
2,16,08:12,18:35
2,17,08:10,18:36
2,18,08:09,18:38
2,19,08:07,18:39
2,20,08:05,18:41
2,21,08:03,18:42
2,22,08:02,18:44
2,23,08:00,18:45
2,24,07:58,18:47
2,25,07:56,18:48
2,26,07:54,18:50
2,27,07:52,18:52
2,28,07:51,18:53
3,1,07:49,18:55
3,2,07:47,18:56
3,3,07:45,18:58
3,4,07:43,18:59
3,5,07:41,19:01
3,6,07:39,19:02
3,7,07:37,19:03
3,8,07:35,19:05
3,9,07:33,19:06
3,10,07:31,19:08
3,11,07:29,19:09
3,12,07:27,19:11
3,13,07:25,19:12
3,14,07:23,19:14
3,15,07:21,19:15
3,16,07:19,19:17
3,17,07:17,19:18
3,18,07:15,19:19
3,19,07:13,19:21
3,20,07:11,19:22
3,21,07:09,19:24
3,22,07:07,19:25
3,23,07:05,19:27
3,24,07:03,19:28
3,25,07:01,19:30
3,26,06:59,19:31
3,27,06:57,19:32
3,28,06:55,19:34
3,29,06:53,19:35
3,30,06:51,19:37
3,31,06:49,19:38
4,1,06:47,19:39
4,2,06:45,19:41
4,3,06:43,19:42
4,4,06:41,19:44
4,5,06:39,19:45
4,6,06:37,19:47
4,7,06:35,19:48
4,8,06:33,19:49
4,9,06:31,19:51
4,10,06:29,19:52
4,11,06:27,19:54
4,12,06:25,19:55
4,13,06:23,19:56
4,14,06:21,19:58
4,15,06:19,19:59
4,16,06:18,20:01
4,17,06:16,20:02
4,18,06:14,20:03
4,19,06:12,20:05
4,20,06:10,20:06
4,21,06:08,20:08
4,22,06:07,20:09
4,23,06:05,20:11
4,24,06:03,20:12
4,25,06:01,20:13
4,26,06:00,20:15
4,27,05:58,20:16
4,28,05:56,20:18
4,29,05:54,20:19
4,30,05:53,20:20
5,1,05:51,20:22
5,2,05:50,20:23
5,3,05:48,20:24
5,4,05:46,20:26
5,5,05:45,20:27
5,6,05:43,20:29
5,7,05:42,20:30
5,8,05:41,20:31
5,9,05:39,20:33
5,10,05:38,20:34
5,11,05:36,20:35
5,12,05:35,20:37
5,13,05:34,20:38
5,14,05:32,20:39
5,15,05:31,20:40
5,16,05:30,20:42
5,17,05:29,20:43
5,18,05:28,20:44
5,19,05:26,20:45
5,20,05:25,20:47
5,21,05:24,20:48
5,22,05:23,20:49
5,23,05:22,20:50
5,24,05:21,20:51
5,25,05:20,20:52
5,26,05:20,20:53
5,27,05:19,20:54
5,28,05:18,20:55
5,29,05:17,20:56
5,30,05:16,20:57
5,31,05:16,20:58
6,1,05:15,20:59
6,2,05:15,21:00
6,3,05:14,21:01
6,4,05:13,21:02
6,5,05:13,21:03
6,6,05:13,21:03
6,7,05:12,21:04
6,8,05:12,21:05
6,9,05:12,21:05
6,10,05:11,21:06
6,11,05:11,21:07
6,12,05:11,21:07
6,13,05:11,21:08
6,14,05:11,21:08
6,15,05:11,21:09
6,16,05:11,21:09
6,17,05:11,21:09
6,18,05:11,21:10
6,19,05:11,21:10
6,20,05:11,21:10
6,21,05:11,21:10
6,22,05:12,21:11
6,23,05:12,21:11
6,24,05:12,21:11
6,25,05:13,21:11
6,26,05:13,21:11
6,27,05:13,21:11
6,28,05:14,21:11
6,29,05:15,21:10
6,30,05:15,21:10
7,1,05:16,21:10
7,2,05:16,21:10
7,3,05:17,21:09
7,4,05:18,21:09
7,5,05:18,21:09
7,6,05:19,21:08
7,7,05:20,21:08
7,8,05:21,21:07
7,9,05:22,21:07
7,10,05:23,21:06
7,11,05:23,21:05
7,12,05:24,21:05
7,13,05:25,21:04
7,14,05:26,21:03
7,15,05:27,21:02
7,16,05:28,21:01
7,17,05:29,21:00
7,18,05:30,20:59
7,19,05:32,20:59
7,20,05:33,20:57
7,21,05:34,20:56
7,22,05:35,20:55
7,23,05:36,20:54
7,24,05:37,20:53
7,25,05:38,20:52
7,26,05:40,20:51
7,27,05:41,20:49
7,28,05:42,20:48
7,29,05:43,20:47
7,30,05:45,20:45
7,31,05:46,20:44
8,1,05:47,20:43
8,2,05:48,20:41
8,3,05:50,20:40
8,4,05:51,20:38
8,5,05:52,20:37
8,6,05:54,20:35
8,7,05:55,20:34
8,8,05:56,20:32
8,9,05:58,20:31
8,10,05:59,20:29
8,11,06:00,20:27
8,12,06:01,20:26
8,13,06:03,20:24
8,14,06:04,20:22
8,15,06:05,20:20
8,16,06:07,20:19
8,17,06:08,20:17
8,18,06:09,20:15
8,19,06:11,20:13
8,20,06:12,20:11
8,21,06:13,20:10
8,22,06:15,20:08
8,23,06:16,20:06
8,24,06:17,20:04
8,25,06:19,20:02
8,26,06:20,20:00
